#Parameters = {ln=0.4; res=0.01}
#"Frequency / GHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
0.10000000149012	-133.09296035762
0.10140000283718	-130.29400319545
0.10279999673367	-128.22102079758
0.10419999808073	-127.41820021170
0.10559999942780	-127.83897541215
0.10700000077486	-129.65304463566
0.10840000212193	-133.62071779997
0.10980000346899	-142.36846021305
0.11119999736547	-137.65350216768
0.11259999871254	-131.28904360674
0.11400000005960	-128.19113148708
0.11540000140667	-126.67534941505
0.11680000275373	-126.22656605359
0.11819999665022	-126.66799358612
0.11959999799728	-127.97477404135
0.12099999934435	-130.21353870886
0.12240000069141	-133.38147140896
0.12380000203848	-136.30062839098
0.12520000338554	-135.87942371239
0.12659999728203	-133.82832371198
0.12800000607967	-132.48239874238
0.12939999997616	-132.10067522811
0.13079999387264	-132.61154611333
0.13220000267029	-134.01116112746
0.13359999656677	-136.41978142447
0.13500000536442	-139.93666273199
0.13639999926090	-142.43143982087
0.13779999315739	-139.55475660499
0.13920000195503	-135.90278049551
0.14059999585152	-133.26581985660
0.14200000464916	-131.45026939344
0.14339999854565	-130.23948662752
0.14480000734329	-129.49077673763
0.14620000123978	-129.09722576074
0.14759999513626	-128.96826461520
0.14900000393391	-129.03546770700
0.15039999783039	-129.27694020784
0.15180000662804	-129.73819441666
0.15320000052452	-130.51973083724
0.15459999442101	-131.69536316341
0.15600000321865	-133.02764832375
0.15739999711514	-133.38811853424
0.15880000591278	-131.80129409127
0.16019999980927	-129.45716102874
0.16159999370575	-127.50368952429
0.16300000250340	-126.25737635799
0.16439999639988	-125.79003486124
0.16580000519753	-126.19321016986
0.16719999909401	-127.71021741822
0.16859999299049	-131.03131851268
0.17000000178814	-138.82277655495
0.17139999568462	-138.14832567759
0.17280000448227	-129.72123404654
0.17419999837875	-125.63311303681
0.17560000717640	-123.29048861078
0.17700000107288	-122.00396174195
0.17839999496937	-121.51942743251
0.17980000376701	-121.74392808787
0.18119999766350	-122.67481765915
0.18260000646114	-124.38716662378
0.18400000035763	-127.04063096449
0.18539999425411	-130.76457109163
0.18680000305176	-134.19448551554
0.18819999694824	-133.26279517637
0.18960000574589	-130.90352588237
0.19099999964237	-129.58693879667
0.19239999353886	-129.35764681188
0.19380000233650	-130.08016019095
0.19519999623299	-131.71705354537
0.19660000503063	-134.35891075484
0.19799999892712	-138.36160916387
0.19939999282360	-145.14193273651
0.20080000162125	-153.30151658631
0.20219999551773	-142.29467249311
0.20360000431538	-136.81112552692
0.20499999821186	-133.28070851286
0.20640000700951	-130.86075624782
0.20780000090599	-129.30803671120
0.20919999480247	-128.54470549367
0.21060000360012	-128.57655346142
0.21199999749660	-129.48926464384
0.21340000629425	-131.46414650289
0.21480000019073	-134.59721957178
0.21619999408722	-136.70906115314
0.21760000288486	-133.97613853868
0.21899999678135	-130.75124916759
0.22040000557899	-128.72108433150
0.22179999947548	-127.74796964114
0.22319999337196	-127.66519509398
0.22460000216961	-128.37104685730
0.22599999606609	-129.69582013594
0.22740000486374	-131.02518443697
0.22879999876022	-131.09151425300
0.23019999265671	-129.71860901789
0.23160000145435	-128.14231939653
0.23299999535084	-127.06652912102
0.23440000414848	-126.65323395893
0.23579999804497	-126.93048293339
0.23720000684261	-127.93976615878
0.23860000073910	-129.79686881796
0.23999999463558	-132.77348133155
0.24140000343323	-137.44893419667
0.24279999732971	-143.00767255012
0.24420000612736	-139.81010505647
0.24560000002384	-135.73197148757
