#Parameters = {ln=0.4}
#"Frequency / GHz"	"S1,1 [Magnitude in dB]"
#------------------------------------------
0.0000000000000	-58.907670579564
0.00040000000000000	-58.840443938155
0.00080000000000000	-58.774758704845
0.0012000000000000	-58.710724371523
0.0016000000000000	-58.648452813037
0.0020000000000000	-58.588057974035
0.0024000000000000	-58.529655512275
0.0028000000000000	-58.473362398294
0.0032000000000000	-58.419296471152
0.0036000000000000	-58.367575951451
0.0040000000000000	-58.318318912307
0.0044000000000000	-58.271642711267
0.0048000000000000	-58.227663386335
0.0052000000000000	-58.186495019887
0.0056000000000000	-58.148249076136
0.0060000000000000	-58.113033718056
0.0064000000000000	-58.080953110771
0.0068000000000000	-58.052106719212
0.0072000000000000	-58.026588608912
0.0076000000000000	-58.004486758787
0.0080000000000000	-57.985882395731
0.0084000000000000	-57.970849360674
0.0088000000000000	-57.959453516025
0.0092000000000000	-57.951752203906
0.0096000000000000	-57.947793764303
0.010000000000000	-57.947617121317
0.010400000000000	-57.951251444862
0.010800000000000	-57.958715893829
0.011200000000000	-57.970019445423
0.011600000000000	-57.985160813804
0.012000000000000	-58.004128459544
0.012400000000000	-58.026900689702
0.012800000000000	-58.053445846737
0.013200000000000	-58.083722582653
0.013600000000000	-58.117680213538
0.014000000000000	-58.155259148127
0.014400000000000	-58.196391382739
0.014800000000000	-58.241001054449
0.015200000000000	-58.289005042925
0.015600000000000	-58.340313611866
0.016000000000000	-58.394831079604
0.016400000000000	-58.452456509647
0.016800000000000	-58.513084411338
0.017200000000000	-58.576605441594
0.017600000000000	-58.642907099368
0.018000000000000	-58.711874405059
0.018400000000000	-58.783390558003
0.018800000000000	-58.857337566210
0.019200000000000	-58.933596843317
0.019600000000000	-59.012049768744
0.020000000000000	-59.092578208109
0.020400000000000	-59.175064991526
0.020800000000000	-59.259394348754
0.021200000000000	-59.345452300416
0.021600000000000	-59.433127005487
0.022000000000000	-59.522309065990
0.022400000000000	-59.612891789781
0.022800000000000	-59.704771413420
0.023200000000000	-59.797847286978
0.023600000000000	-59.892022023016
0.024000000000000	-59.987201612437
0.024400000000000	-60.083295509281
0.024800000000000	-60.180216687546
0.025200000000000	-60.277881672536
0.025600000000000	-60.376210549042
0.026000000000000	-60.475126949396
0.026400000000000	-60.574558023268
0.026800000000000	-60.674434391874
0.027200000000000	-60.774690088661
0.027600000000000	-60.875262488512
0.028000000000000	-60.976092227189
0.028400000000000	-61.077123113047
0.028800000000000	-61.178302032068
0.029200000000000	-61.279578848323
0.029600000000000	-61.380906300540
0.030000000000000	-61.482239896185
0.030400000000000	-61.583537803850
0.030800000000000	-61.684760745175
0.031200000000000	-61.785871886910
0.031600000000000	-61.886836733271
0.032000000000000	-61.987623020175
0.032400000000000	-62.088200610835
0.032800000000000	-62.188541393821
0.033200000000000	-62.288619183182
0.033600000000000	-62.388409621945
0.034000000000000	-62.487890088093
0.034400000000000	-62.587039603678
0.034800000000000	-62.685838747430
0.035200000000000	-62.784269570336
0.035600000000000	-62.882315514953
0.036000000000000	-62.979961337500
0.036400000000000	-63.077193033819
0.036800000000000	-63.173997768211
0.037200000000000	-63.270363806021
0.037600000000000	-63.366280448627
0.038000000000000	-63.461737972483
0.038400000000000	-63.556727570276
0.038800000000000	-63.651241295802
0.039200000000000	-63.745272010952
0.039600000000000	-63.838813336070
0.040000000000000	-63.931859602500
0.040400000000000	-64.024405807828
0.040800000000000	-64.116447573603
0.041200000000000	-64.207981105233
0.041600000000000	-64.299003154046
0.042000000000000	-64.389510981828
0.042400000000000	-64.479502326948
0.042800000000000	-64.568975372694
0.043200000000000	-64.657928716952
0.043600000000000	-64.746361344542
0.044000000000000	-64.834272600142
0.044400000000000	-64.921662163419
0.044800000000000	-65.008530025575
0.045200000000000	-65.094876466998
0.045600000000000	-65.180702036249
0.046000000000000	-65.266007531134
0.046400000000000	-65.350793979498
0.046800000000000	-65.435062622261
0.047200000000000	-65.518814897241
0.047600000000000	-65.602052423950
0.048000000000000	-65.684776988828
0.048400000000000	-65.766990532190
0.048800000000000	-65.848695135708
0.049200000000000	-65.929893010249
0.049600000000000	-66.010586485095
0.050000000000000	-66.090777997219
0.050400000000000	-66.170470081958
0.050800000000000	-66.249665363592
0.051200000000000	-66.328366547110
0.051600000000000	-66.406576409714
0.052000000000000	-66.484297794047
0.052400000000000	-66.561533600748
0.052800000000000	-66.638286781926
0.053200000000000	-66.714560335285
0.053600000000000	-66.790357298196
0.054000000000000	-66.865680742690
0.054400000000000	-66.940533770233
0.054800000000000	-67.014919507121
0.055200000000000	-67.088841100161
0.055600000000000	-67.162301712840
0.056000000000000	-67.235304521512
0.056400000000000	-67.307852711721
0.056800000000000	-67.379949475197
0.057200000000000	-67.451598006749
0.057600000000000	-67.522801501555
0.058000000000000	-67.593563152424
0.058400000000000	-67.663886147477
0.058800000000000	-67.733773668088
0.059200000000000	-67.803228886703
0.059600000000000	-67.872254964726
0.060000000000000	-67.940855051125
0.060400000000000	-68.009032280679
0.060800000000000	-68.076789772535
0.061200000000000	-68.144130628883
0.061600000000000	-68.211057933441
0.062000000000000	-68.277574750762
0.062400000000000	-68.343684124813
0.062800000000000	-68.409389078288
0.063200000000000	-68.474692611669
0.063600000000000	-68.539597702369
0.064000000000000	-68.604107304253
0.064400000000000	-68.668224346667
0.064800000000000	-68.731951734249
0.065200000000000	-68.795292346432
0.065600000000000	-68.858249036593
0.066000000000000	-68.920824632048
0.066400000000000	-68.983021933622
0.066800000000000	-69.044843715500
0.067200000000000	-69.106292724792
0.067600000000000	-69.167371681262
0.068000000000000	-69.228083277677
0.068400000000000	-69.288430179067
0.068800000000000	-69.348415023181
0.069200000000000	-69.408040419912
0.069600000000000	-69.467308951811
0.070000000000000	-69.526223173717
0.070400000000000	-69.584785613035
0.070800000000000	-69.642998769398
0.071200000000000	-69.700865115468
0.071600000000000	-69.758387096072
0.072000000000000	-69.815567129288
0.072400000000000	-69.872407605886
0.072800000000000	-69.928910889807
0.073200000000000	-69.985079318139
0.073600000000000	-70.040915201677
0.074000000000000	-70.096420824488
0.074400000000000	-70.151598444713
0.074800000000000	-70.206450294435
0.075200000000000	-70.260978580006
0.075600000000000	-70.315185482454
0.076000000000000	-70.369073157193
0.076400000000000	-70.422643734846
0.076800000000000	-70.475899321503
0.077200000000000	-70.528841998211
0.077600000000000	-70.581473822258
0.078000000000000	-70.633796826755
0.078400000000000	-70.685813021120
0.078800000000000	-70.737524391368
0.079200000000000	-70.788932900350
0.079600000000000	-70.840040488210
0.080000000000000	-70.890849072424
0.080400000000000	-70.941360548045
0.080800000000000	-70.991576788314
0.081200000000000	-71.041499644706
0.081600000000000	-71.091130947232
0.082000000000000	-71.140472504936
0.082400000000000	-71.189526105623
0.082800000000000	-71.238293517049
0.083200000000000	-71.286776486390
0.083600000000000	-71.334976740850
0.084000000000000	-71.382895988177
0.084400000000000	-71.430535916384
0.084800000000000	-71.477898194674
0.085200000000000	-71.524984473274
0.085600000000000	-71.571796383734
0.086000000000000	-71.618335539770
0.086400000000000	-71.664603536450
0.086800000000000	-71.710601951939
0.087200000000000	-71.756332346121
0.087600000000000	-71.801796262408
0.088000000000000	-71.846995226983
0.088400000000000	-71.891930749414
0.088800000000000	-71.936604323149
0.089200000000000	-71.981017425092
0.089600000000000	-72.025171516919
0.090000000000000	-72.069068044222
0.090400000000000	-72.112708437558
0.090800000000000	-72.156094112449
0.091200000000000	-72.199226469372
0.091600000000000	-72.242106894457
0.092000000000000	-72.284736759534
0.092400000000000	-72.327117422202
0.092800000000000	-72.369250226377
0.093200000000000	-72.411136502334
0.093600000000000	-72.452777567104
0.094000000000000	-72.494174724366
0.094400000000000	-72.535329265057
0.094800000000000	-72.576242467388
0.095200000000000	-72.616915597170
0.095600000000000	-72.657349908094
0.096000000000000	-72.697546641620
0.096400000000000	-72.737507027493
0.096800000000000	-72.777232283990
0.097200000000000	-72.816723617876
0.097600000000000	-72.855982224714
0.098000000000000	-72.895009289474
0.098400000000000	-72.933805985789
0.098800000000000	-72.972373477067
0.099200000000000	-73.010712916226
0.099600000000000	-73.048825446264
0.10000000000000	-73.086712199743
0.10040000000000	-73.124374299786
0.10080000000000	-73.161812859615
0.10120000000000	-73.199028983210
0.10160000000000	-73.236023765247
0.10200000000000	-73.272798291107
0.10240000000000	-73.309353637479
0.10280000000000	-73.345690872228
0.10320000000000	-73.381811054423
0.10360000000000	-73.417715235167
0.10400000000000	-73.453404456756
0.10440000000000	-73.488879753770
0.10480000000000	-73.524142152553
0.10520000000000	-73.559192672002
0.10560000000000	-73.594032322851
0.10600000000000	-73.628662108820
0.10640000000000	-73.663083025976
0.10680000000000	-73.697296063286
0.10720000000000	-73.731302202547
0.10760000000000	-73.765102418555
0.10800000000000	-73.798697679682
0.10840000000000	-73.832088947074
0.10880000000000	-73.865277175828
0.10920000000000	-73.898263314187
0.10960000000000	-73.931048304473
0.11000000000000	-73.963633082537
0.11040000000000	-73.996018578373
0.11080000000000	-74.028205716036
0.11120000000000	-74.060195413619
0.11160000000000	-74.091988583668
0.11200000000000	-74.123586133008
0.11240000000000	-74.154988963092
0.11280000000000	-74.186197969974
0.11320000000000	-74.217214044408
0.11360000000000	-74.248038071879
0.11400000000000	-74.278670933058
0.11440000000000	-74.309113503406
0.11480000000000	-74.339366653593
0.11520000000000	-74.369431249706
0.11560000000000	-74.399308152754
0.11600000000000	-74.428998219416
0.11640000000000	-74.458502301879
0.11680000000000	-74.487821247751
0.11720000000000	-74.516955900489
0.11760000000000	-74.545907099132
0.11800000000000	-74.574675678752
0.11840000000000	-74.603262469989
0.11880000000000	-74.631668299925
0.11920000000000	-74.659893991298
0.11960000000000	-74.687940363181
0.12000000000000	-74.715808230775
0.12040000000000	-74.743498405721
0.12080000000000	-74.771011695791
0.12120000000000	-74.798348905268
0.12160000000000	-74.825510834991
0.12200000000000	-74.852498282114
0.12240000000000	-74.879312040692
0.12280000000000	-74.905952901144
0.12320000000000	-74.932421650931
0.12360000000000	-74.958719074102
0.12400000000000	-74.984845951451
0.12440000000000	-75.010803060846
0.12480000000000	-75.036591177078
0.12520000000000	-75.062211071844
0.12560000000000	-75.087663514003
0.12600000000000	-75.112949269319
0.12640000000000	-75.138069100982
0.12680000000000	-75.163023769092
0.12720000000000	-75.187814031164
0.12760000000000	-75.212440641898
0.12800000000000	-75.236904353344
0.12840000000000	-75.261205915004
0.12880000000000	-75.285346073523
0.12920000000000	-75.309325573292
0.12960000000000	-75.333145155892
0.13000000000000	-75.356805560669
0.13040000000000	-75.380307524384
0.13080000000000	-75.403651781352
0.13120000000000	-75.426839063601
0.13160000000000	-75.449870100689
0.13200000000000	-75.472745619794
0.13240000000000	-75.495466346143
0.13280000000000	-75.518033002349
0.13320000000000	-75.540446308758
0.13360000000000	-75.562706983820
0.13400000000000	-75.584815743426
0.13440000000000	-75.606773301563
0.13480000000000	-75.628580370082
0.13520000000000	-75.650237658423
0.13560000000000	-75.671745874260
0.13600000000000	-75.693105722977
0.13640000000000	-75.714317907975
0.13680000000000	-75.735383130736
0.13720000000000	-75.756302090397
0.13760000000000	-75.777075484349
0.13800000000000	-75.797704008027
0.13840000000000	-75.818188354704
0.13880000000000	-75.838529215730
0.13920000000000	-75.858727280669
0.13960000000000	-75.878783237015
0.14000000000000	-75.898697770367
0.14040000000000	-75.918471564431
0.14080000000000	-75.938105301016
0.14120000000000	-75.957599659993
0.14160000000000	-75.976955319497
0.14200000000000	-75.996172955584
0.14240000000000	-76.015253242667
0.14280000000000	-76.034196853175
0.14320000000000	-76.053004457744
0.14360000000000	-76.071676725184
0.14400000000000	-76.090214322419
0.14440000000000	-76.108617914588
0.14480000000000	-76.126888165066
0.14520000000000	-76.145025735268
0.14560000000000	-76.163031284986
0.14600000000000	-76.180905472002
0.14640000000000	-76.198648952553
0.14680000000000	-76.216262380783
0.14720000000000	-76.233746409286
0.14760000000000	-76.251101688716
0.14800000000000	-76.268328867967
0.14840000000000	-76.285428594201
0.14880000000000	-76.302401512677
0.14920000000000	-76.319248267007
0.14960000000000	-76.335969498854
0.15000000000000	-76.352565848217
0.15040000000000	-76.369037953173
0.15080000000000	-76.385386450198
0.15120000000000	-76.401611973844
0.15160000000000	-76.417715156799
0.15200000000000	-76.433696630121
0.15240000000000	-76.449557022939
0.15280000000000	-76.465296962696
0.15320000000000	-76.480917074858
0.15360000000000	-76.496417983294
0.15400000000000	-76.511800309937
0.15440000000000	-76.527064674872
0.15480000000000	-76.542211696496
0.15520000000000	-76.557241991251
0.15560000000000	-76.572156173868
0.15600000000000	-76.586954857096
0.15640000000000	-76.601638652046
0.15680000000000	-76.616208167866
0.15720000000000	-76.630664011908
0.15760000000000	-76.645006789631
0.15800000000000	-76.659237104703
0.15840000000000	-76.673355558864
0.15880000000000	-76.687362751999
0.15920000000000	-76.701259282246
0.15960000000000	-76.715045745704
0.16000000000000	-76.728722736736
0.16040000000000	-76.742290847688
0.16080000000000	-76.755750669150
0.16120000000000	-76.769102789696
0.16160000000000	-76.782347796090
0.16200000000000	-76.795486273121
0.16240000000000	-76.808518803738
0.16280000000000	-76.821445968931
0.16320000000000	-76.834268347781
0.16360000000000	-76.846986517359
0.16400000000000	-76.859601052952
0.16440000000000	-76.872112527786
0.16480000000000	-76.884521513168
0.16520000000000	-76.896828578448
0.16560000000000	-76.909034291109
0.16600000000000	-76.921139216521
0.16640000000000	-76.933143918134
0.16680000000000	-76.945048957536
0.16720000000000	-76.956854894114
0.16760000000000	-76.968562285502
0.16800000000000	-76.980171687098
0.16840000000000	-76.991683652525
0.16880000000000	-77.003098733269
0.16920000000000	-77.014417478912
0.16960000000000	-77.025640436833
0.17000000000000	-77.036768152549
0.17040000000000	-77.047801169507
0.17080000000000	-77.058740029118
0.17120000000000	-77.069585270706
0.17160000000000	-77.080337431709
0.17200000000000	-77.090997047357
0.17240000000000	-77.101564650743
0.17280000000000	-77.112040773213
0.17320000000000	-77.122425943771
0.17360000000000	-77.132720689478
0.17400000000000	-77.142925535292
0.17440000000000	-77.153041004125
0.17480000000000	-77.163067616708
0.17520000000000	-77.173005891744
0.17560000000000	-77.182856345974
0.17600000000000	-77.192619493782
0.17640000000000	-77.202295847694
0.17680000000000	-77.211885917991
0.17720000000000	-77.221390212890
0.17760000000000	-77.230809238479
0.17800000000000	-77.240143498751
0.17840000000000	-77.249393495622
0.17880000000000	-77.258559728769
0.17920000000000	-77.267642695871
0.17960000000000	-77.276642892395
0.18000000000000	-77.285560811716
0.18040000000000	-77.294396945047
0.18080000000000	-77.303151781524
0.18120000000000	-77.311825808063
0.18160000000000	-77.320419509497
0.18200000000000	-77.328933368446
0.18240000000000	-77.337367865499
0.18280000000000	-77.345723478997
0.18320000000000	-77.354000685143
0.18360000000000	-77.362199958053
0.18400000000000	-77.370321769622
0.18440000000000	-77.378366589549
0.18480000000000	-77.386334885546
0.18520000000000	-77.394227122978
0.18560000000000	-77.402043765143
0.18600000000000	-77.409785273195
0.18640000000000	-77.417452106059
0.18680000000000	-77.425044720543
0.18720000000000	-77.432563571280
0.18760000000000	-77.440009110750
0.18800000000000	-77.447381789299
0.18840000000000	-77.454682054978
0.18880000000000	-77.461910353879
0.18920000000000	-77.469067129696
0.18960000000000	-77.476152824186
0.19000000000000	-77.483167876802
0.19040000000000	-77.490112724830
0.19080000000000	-77.496987803486
0.19120000000000	-77.503793545774
0.19160000000000	-77.510530382489
0.19200000000000	-77.517198742323
0.19240000000000	-77.523799051794
0.19280000000000	-77.530331735271
0.19320000000000	-77.536797214990
0.19360000000000	-77.543195910936
0.19400000000000	-77.549528241060
0.19440000000000	-77.555794621057
0.19480000000000	-77.561995464582
0.19520000000000	-77.568131183058
0.19560000000000	-77.574202185778
0.19600000000000	-77.580208879896
0.19640000000000	-77.586151670447
0.19680000000000	-77.592030960285
0.19720000000000	-77.597847150196
0.19760000000000	-77.603600638774
0.19800000000000	-77.609291822474
0.19840000000000	-77.614921095644
0.19880000000000	-77.620488850544
0.19920000000000	-77.625995477217
0.19960000000000	-77.631441363757
0.20000000000000	-77.636826895949
0.20040000000000	-77.642152457608
0.20080000000000	-77.647418430329
0.20120000000000	-77.652625193717
0.20160000000000	-77.657773125187
0.20200000000000	-77.662862600136
0.20240000000000	-77.667893991774
0.20280000000000	-77.672867671309
0.20320000000000	-77.677784007825
0.20360000000000	-77.682643368347
0.20400000000000	-77.687446117774
0.20440000000000	-77.692192619019
0.20480000000000	-77.696883232839
0.20520000000000	-77.701518318008
0.20560000000000	-77.706098231190
